"clusterid","birthorder","rural","facilitybirth","age","married","educat","wealth","pca","svyweight","latitude","longitude","xvar","yvar","surface_var"
32,1,1,0,24.5,0,1,-4.8001,-0.087691419,286636,19.787814,-73.012814,-6350.18485761017,2199.07848928962,9.92750607626634
32,1,1,0,26.25,1,1,-6.2698,-0.20324646,286636,19.787814,-73.012814,-6350.18485761017,2199.07848928962,9.92750607626634
32,2,1,1,25.833334,1,1,-9.6969,-0.47270191,286636,19.787814,-73.012814,-6350.18485761017,2199.07848928962,9.92750607626634
32,7,1,0,37.083332,1,0,-11.4131,-1.5278678,286636,19.787814,-73.012814,-6350.18485761017,2199.07848928962,9.92750607626634
32,9,1,0,45,1,0,-9.7564,-1.3976098,286636,19.787814,-73.012814,-6350.18485761017,2199.07848928962,9.92750607626634
32,3,1,0,24.25,1,1,-10.8001,-0.55944091,286636,19.787814,-73.012814,-6350.18485761017,2199.07848928962,9.92750607626634
32,9,1,0,37.916668,1,1,-11.1945,-0.59045058,286636,19.787814,-73.012814,-6350.18485761017,2199.07848928962,9.92750607626634
33,4,1,0,32.333332,1,1,6.5497,0.80468565,2087223,18.608669,-72.226604,-6281.80536963561,2068.03660637858,3.42665324163575
33,3,1,0,18.916666,1,0,2.5115,-0.43304724,2087223,18.608669,-72.226604,-6281.80536963561,2068.03660637858,3.42665324163575
33,2,1,0,28,1,1,13.0227,1.3136247,2087223,18.608669,-72.226604,-6281.80536963561,2068.03660637858,3.42665324163575
33,1,1,1,20.083334,1,0,2.6141,-0.42498031,2087223,18.608669,-72.226604,-6281.80536963561,2068.03660637858,3.42665324163575
33,3,1,0,26.833334,0,1,2.6141,0.49524945,2087223,18.608669,-72.226604,-6281.80536963561,2068.03660637858,3.42665324163575
33,2,1,1,26.083334,0,2,11.2613,2.0953646,2087223,18.608669,-72.226604,-6281.80536963561,2068.03660637858,3.42665324163575
33,5,1,0,26.833334,1,0,7.6296,-0.030637048,2087223,18.608669,-72.226604,-6281.80536963561,2068.03660637858,3.42665324163575
33,5,1,0,34.833332,1,1,11.4005,1.1860794,2087223,18.608669,-72.226604,-6281.80536963561,2068.03660637858,3.42665324163575
33,4,1,0,28.916666,1,0,7.3904,-0.049444128,2087223,18.608669,-72.226604,-6281.80536963561,2068.03660637858,3.42665324163575
34,1,1,1,22.583334,1,1,9.7985,1.0601223,3171840,18.594563,-72.215732,-6280.85979301707,2066.46896473964,2.95213196211726
